25m,10m,operation10,new,min,max,unit,qualflag10
rslt_wnd_spd,wind_speed,none,WS,0,20,m_per_sec,
LE_li_wpl,LE,none,LE,-200,800,W_per_m2,qc_LE
Hc_li,H,none,H,-200,800,W_per_m2,qc_H
RH_tmpr_rh_mean,RH,none,RH,0,100,percent,
Fc_li_wpl,co2_flux,Fc,Fc,-2,1,mg/(m^2 s),qc_co2_flux
T_tmpr_rh_mean,air_temperature,KtoC,Ta,-30,60,C,
amb_press_li_mean,air_pressure,div1000,Pair,98,102,kPa,
rho_a_tmpr_rh_mean,air_density,none,rho,1.1,1.4,kg/m3,
wnd_dir_compass,wind_dir,none,WD,0,365,deg,
tau,Tau,none,tau,-2,2,kg/m2s,
u_star,u*,none,ustar,0,1.5,m/s,
e_tmpr_rh_mean,e,div1000,e,0,6,kPa,
e_sat_tmpr_rh_mean,es,div1000,esat,0,6,kPa,
Ux_stdev,u_var,sqrt,ustd,0,3,m/s,
Uy_stdev,v_var,sqrt,vstd,0,3,m/s,
Uz_stdev,w_var,sqrt,wstd,0,2,m/s,
Tc_li_stdev,ts_var,sqrt,tstd,0,1,C,
CO2_li_stdev,co2_var,sqrtFc,co2std,0,6,mg/(m^2),
H2O_li_stdev,h2o_var,sqrtH2O,h2ostd,0,6,g/(m^2),
sonic_samples_Tot,file_records,,,,,,
sonic_amp_l_f_Tot,used_records,,,,,,
sonic_amp_h_f_Tot,qc_Tau,,,,,,
sonic_sig_lck_f_Tot,qc_H,,,,,,
sonic_del_T_f_Tot,qc_LE,,,,,,
sonic_aq_sig_f_Tot,qc_co2_flux,,,,,,
sonic_low_volt_f_Tot,ET,,,,,,
sonic_trig_f_Tot,Tdew,,,,,,
sonic_intrnl_hmdty_f_Tot,x_peak,,,,,,
sonic_cal_err_f_Tot,x_offset,,,,,,
irga_li_samples_Tot,x_10%,,,,,,
diag_irga_li_aggregate,x_30%,,,,,,
no_new_data_li_Tot,x_50%,,,,,,
sig_error_li_Tot,x_70%,,,,,,
CS655_Wcr_Avg,x_90%,,,,,,
CS655_Ec_Avg,spikes_hf,,,,,,
CS655_Tmpr_Avg,u_spikes,,,,,,
NDVI_Avg,v_spikes,,,,,,
NDVIUpRed_Avg,w_spikes,,,,,,
NDVIUpNIR_Avg,ts_spikes,,,,,,
NDVIIndUp,co2_spikes,,,,,,
NDVIDownRed_Avg,h2o_spikes,,,,,,
NDVIDownNIR_Avg,co2_signal_strength_7500_mean,,,,,,
NDVIIndDown,x,,,,,,
PRI_Avg,,,,,,,
PRIUp531_Avg,,,,,,,
PRIUp570_Avg,,,,,,,
PRIIndUp,,,,,,,
PRIDown531_Avg,,,,,,,
PRIDown570_Avg,,,,,,,
PRIIndDown,,,,,,,
D5TE_VWC_5cm_Avg,,,,,,,
D5TE_P_5cm_Avg,,,,,,,
D5TE_EC_5cm_Avg,,,,,,,
D5TE_T_5cm_Avg,,,,,,,
D5TE_VWC_15cm_Avg,,,,,,,
D5TE_P_15cm_Avg,,,,,,,
D5TE_EC_15cm_Avg,,,,,,,
D5TE_T_15cm_Avg,,,,,,,
D5TE_VWC_30cm_Avg,,,,,,,
D5TE_P_30cm_Avg,,,,,,,
D5TE_EC_30cm_Avg,,,,,,,
D5TE_T_30cm_Avg,,,,,,,
D5TE_VWC_50cm_Avg,,,,,,,
D5TE_P_50cm_Avg,,,,,,,
D5TE_EC_50cm_Avg,,,,,,,
D5TE_T_50cm_Avg,,,,,,,
D5TE_VWC_100cm_Avg,,,,,,,
D5TE_P_100cm_Avg,,,,,,,
D5TE_EC_100cm_Avg,,,,,,,
D5TE_T_100cm_Avg,,,,,,,
D5TE_VWC_200cm_Avg,,,,,,,
D5TE_P_200cm_Avg,,,,,,,
D5TE_EC_200cm_Avg,,,,,,,
D5TE_T_200cm_Avg,,,,,,,
slowsequence_2_Tot,,,,,,,
SB121TempC_Avg,,,,,,,
Targ121TempC_Avg,,,,,,,
Targ121mV_Avg,,,,,,,
SB1H1TempC_Avg,,,,,,,
Targ1H1TempC_Avg,,,,,,,
Targ1H1mV_Avg,,,,,,,
short_up_Avg,,,,,,,
short_dn_Avg,,,,,,,
long_up_Avg,,,,,,,
long_dn_Avg,,,,,,,
cnr4_T_C_Avg,,,,,,,
cnr4_T_K_Avg,,,,,,,
long_up_corr_Avg,,,,,,,
long_dn_corr_Avg,,,,,,,
Rs_net_Avg,,,,,,,
Rl_net_Avg,,,,,,,
albedo_Avg,,,,,,,
Rn_Avg,,,,,,,
SQ_110_Avg,,,,,,,
shf_Avg(1),,,,,,,
shf_Avg(2),,,,,,,
Batt_Volt_Min,,,,,,,
Solar_Batt_Min,,,,,,,
